,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_orig_results_f1_100_10,MSE_train_opt,0.01570415249956178,0.08571428571428572,1.0,39.97142857142857
1,BFGS_orig_results_f1_100_10,AIC,0.01352448236828892,0.2,1.0,32.371428571428574
2,BFGS_orig_results_f1_100_10,BIC,0.013103752390178072,0.2,1.0,32.25714285714286
3,BFGS_orig_results_f1_100_10,AICc,0.01352448236828892,0.2,1.0,32.371428571428574
4,BFGS_orig_results_f1_100_10,MDL,0.011135998548566913,0.4,1.0,30.228571428571428
5,BFGS_orig_results_f1_100_10,Err_in,0.011404375671568797,0.4857142857142857,1.0,37.114285714285714
