,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_orig_results_f6_100_2,MSE_train_opt,0.0005648047864323004,0.6808510638297872,0.0,52.765957446808514
1,BFGS_orig_results_f6_100_2,AIC,0.0006446954436693248,0.425531914893617,1.0,32.0
2,BFGS_orig_results_f6_100_2,BIC,0.0006446954436693247,0.425531914893617,1.0,32.0
3,BFGS_orig_results_f6_100_2,AICc,0.0006446954436693247,0.425531914893617,1.0,32.0
4,BFGS_orig_results_f6_100_2,MDL,0.0006099368010320046,0.46808510638297873,1.0,31.76595744680851
5,BFGS_orig_results_f6_100_2,Err_in,0.0005648047864323004,0.6808510638297872,0.0,52.765957446808514
