,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_cluster_results_f3_100_1,MSE_train_opt,9.702809626477718e-05,0.02127659574468085,0.0,54.91489361702128
1,BFGS_cluster_results_f3_100_1,AIC,2.121055795753665e-05,0.6382978723404256,1.0,28.25531914893617
2,BFGS_cluster_results_f3_100_1,BIC,1.723575719116082e-05,0.6808510638297872,1.0,27.74468085106383
3,BFGS_cluster_results_f3_100_1,AICc,2.00804459524163e-05,0.6595744680851063,1.0,27.95744680851064
4,BFGS_cluster_results_f3_100_1,MDL,1.244673842564022e-05,0.7872340425531915,1.0,27.127659574468087
5,BFGS_cluster_results_f3_100_1,Err_in,1.178714347083603e-05,0.8723404255319149,1.0,29.74468085106383
