,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_orig_results_f1_100_10,MSE_train_opt,0.013104092500175838,0.7101449275362319,1.0,36.17391304347826
1,BFGS_orig_results_f1_100_10,AIC,0.012527193844374368,0.7391304347826086,1.0,32.31884057971015
2,BFGS_orig_results_f1_100_10,BIC,0.0122060438983309,0.7681159420289855,1.0,31.869565217391305
3,BFGS_orig_results_f1_100_10,AICc,0.012395280984655577,0.7536231884057971,1.0,32.05797101449275
4,BFGS_orig_results_f1_100_10,MDL,0.011623298885067811,0.8405797101449275,1.0,31.44927536231884
5,BFGS_orig_results_f1_100_10,Err_in,0.01133943536905781,0.8695652173913043,1.0,34.56521739130435
