,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_cluster_results_f6_100_2,MSE_train_opt,0.08806153520658204,0.8333333333333334,0.0,55.416666666666664
1,BFGS_cluster_results_f6_100_2,AIC,0.08806153520658201,0.8333333333333334,0.0,55.416666666666664
2,BFGS_cluster_results_f6_100_2,BIC,0.3015120440386665,0.6666666666666666,1.0,44.916666666666664
3,BFGS_cluster_results_f6_100_2,AICc,0.19450506713494708,0.75,1.0,50.0
4,BFGS_cluster_results_f6_100_2,MDL,0.7689626373893507,0.25,1.0,28.916666666666668
5,BFGS_cluster_results_f6_100_2,Err_in,0.14353360768188542,0.16666666666666666,0.0,54.583333333333336
