,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_orig_results_f3_100_1,MSE_train_opt,1.8109239039226026e-06,0.0,0.0,46.41379310344828
1,BFGS_orig_results_f3_100_1,AIC,6.428217925112382e-07,0.2413793103448276,1.0,25.75862068965517
2,BFGS_orig_results_f3_100_1,BIC,6.428217925112382e-07,0.2413793103448276,1.0,25.75862068965517
3,BFGS_orig_results_f3_100_1,AICc,6.428217925112382e-07,0.2413793103448276,1.0,25.75862068965517
4,BFGS_orig_results_f3_100_1,MDL,5.63921209181614e-07,0.3448275862068966,1.0,25.82758620689655
5,BFGS_orig_results_f3_100_1,Err_in,1.8141740426227162e-06,0.0,0.0,44.310344827586206
