,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_cluster_results_f1_100_10,MSE_train_opt,0.02980466934219149,0.7027027027027027,0.0,45.189189189189186
1,BFGS_cluster_results_f1_100_10,AIC,0.021426598020527807,0.7972972972972973,1.0,37.87837837837838
2,BFGS_cluster_results_f1_100_10,BIC,0.019557637851777478,0.8378378378378378,1.0,36.351351351351354
3,BFGS_cluster_results_f1_100_10,AICc,0.01977556291609102,0.8243243243243243,1.0,36.7972972972973
4,BFGS_cluster_results_f1_100_10,MDL,0.017989068778631597,0.8648648648648649,1.0,35.351351351351354
5,BFGS_cluster_results_f1_100_10,Err_in,0.01628313545217333,0.9324324324324325,1.0,38.67567567567568
