,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_orig_results_f5_100_3,MSE_train_opt,6.422269551289776e-05,0.45901639344262296,0.0,48.85245901639344
1,BFGS_orig_results_f5_100_3,AIC,3.497207187243023e-05,0.6721311475409836,1.0,35.60655737704918
2,BFGS_orig_results_f5_100_3,BIC,3.1915241215001195e-05,0.6885245901639344,1.0,35.18032786885246
3,BFGS_orig_results_f5_100_3,AICc,3.1915241215001195e-05,0.6885245901639344,1.0,35.18032786885246
4,BFGS_orig_results_f5_100_3,MDL,2.4063491183161727e-05,0.7377049180327869,1.0,34.36065573770492
5,BFGS_orig_results_f5_100_3,Err_in,6.422269551289776e-05,0.45901639344262296,0.0,48.85245901639344
