,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_pert_results_f6_100_2,MSE_train_opt,0.36321698388171464,0.96875,0.0,49.90625
1,BFGS_pert_results_f6_100_2,AIC,0.36321698388171464,0.96875,0.0,49.90625
2,BFGS_pert_results_f6_100_2,BIC,0.36401878508131114,0.9375,0.0,46.0625
3,BFGS_pert_results_f6_100_2,AICc,0.3634585641730306,0.96875,0.0,48.34375
4,BFGS_pert_results_f6_100_2,MDL,0.3658846844720032,0.875,0.0,44.15625
5,BFGS_pert_results_f6_100_2,Err_in,0.8593566305865634,0.46875,1.0,48.78125
