,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_cluster_results_f4_100_2,MSE_train_opt,0.0013207036733196393,0.35714285714285715,0.0,57.142857142857146
1,BFGS_cluster_results_f4_100_2,AIC,0.000779570086564575,0.7321428571428571,1.0,33.32142857142857
2,BFGS_cluster_results_f4_100_2,BIC,0.0007431299734090411,0.75,1.0,33.07142857142857
3,BFGS_cluster_results_f4_100_2,AICc,0.0007751372591838108,0.7321428571428571,1.0,33.232142857142854
4,BFGS_cluster_results_f4_100_2,MDL,0.000667162599873091,0.8035714285714286,1.0,32.535714285714285
5,BFGS_cluster_results_f4_100_2,Err_in,0.0007687172817227714,0.7678571428571429,1.0,41.392857142857146
