,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_cluster_results_f3_100_1,MSE_train_opt,0.00017885763518624134,0.0,0.0,71.57142857142857
1,BFGS_cluster_results_f3_100_1,AIC,1.531783981028495e-05,0.21428571428571427,1.0,24.428571428571427
2,BFGS_cluster_results_f3_100_1,BIC,1.531783981028495e-05,0.21428571428571427,1.0,24.428571428571427
3,BFGS_cluster_results_f3_100_1,AICc,1.531783981028495e-05,0.21428571428571427,1.0,24.428571428571427
4,BFGS_cluster_results_f3_100_1,MDL,1.3849009454218594e-05,0.14285714285714285,1.0,23.5
5,BFGS_cluster_results_f3_100_1,Err_in,1.6142534112214176e-05,0.21428571428571427,0.0,31.285714285714285
