,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_cluster_results_f1_100_10,MSE_train_opt,0.05490922424008046,0.0,0.0,60.63636363636363
1,BFGS_cluster_results_f1_100_10,AIC,0.04638750072711857,0.0,0.0,40.0
2,BFGS_cluster_results_f1_100_10,BIC,0.02095016571051059,0.09090909090909091,1.0,31.363636363636363
3,BFGS_cluster_results_f1_100_10,AICc,0.03702433981131319,0.09090909090909091,1.0,35.90909090909091
4,BFGS_cluster_results_f1_100_10,MDL,0.010883408291517092,0.45454545454545453,1.0,29.272727272727273
5,BFGS_cluster_results_f1_100_10,Err_in,0.01740911871846609,0.2727272727272727,0.0,31.0
