,dataset,criteria,avg_test_error,precision_at_k,ground_truth_hit,avg_size
0,BFGS_cluster_results_f3_100_1,MSE_train_opt,7.670920561214194e-05,0.47619047619047616,0.0,50.317460317460316
1,BFGS_cluster_results_f3_100_1,AIC,2.452518227717204e-05,0.8571428571428571,1.0,30.38095238095238
2,BFGS_cluster_results_f3_100_1,BIC,1.9354197018646045e-05,0.873015873015873,1.0,30.063492063492063
3,BFGS_cluster_results_f3_100_1,AICc,2.452518227717204e-05,0.8571428571428571,1.0,30.38095238095238
4,BFGS_cluster_results_f3_100_1,MDL,1.7664257669808066e-05,0.9047619047619048,1.0,30.07936507936508
5,BFGS_cluster_results_f3_100_1,Err_in,2.0213054099284207e-05,0.8571428571428571,1.0,33.80952380952381
